913.2	36
914.3	41
914.3	47
914.5	7
914.6	19
914.7	16
919.7	23
920.2	46
920.3	49
920.5	27
920.8	4
920.9	15
921.8	17
922.1	10
922.2	28
922.2	34
922.5	11
922.7	48
923.6	40
924.4	42
924.8	13
926	37
926.6	24
926.9	45
927.2	1
928.5	44
928.6	2
928.9	43
929.2	36
929.5	39
929.6	8
930.3	20
930.9	21
931.2	16
932.5	26
932.9	5
933.1	14
934.9	22
935.1	19
936.2	25
937.7	17
937.8	24
937.8	30
938.2	49
938.3	46
939.2	0
939.5	6
939.6	34
939.9	47
940	7
940	41
940.4	31
941	29
941.5	12
942	27
942.3	32
942.7	36
946.8	21
947	33
948.1	4
948.8	23
949.3	42
949.8	9
950	16
950.2	40
950.7	44
951.3	13
951.7	22
952.4	19
952.7	14
952.7	17
952.8	25
953	45
953.5	11
954.6	1
955.6	37
955.9	48
956.3	49
956.4	41
957.1	12
958.7	43
959	32
959.9	36
960.1	46
960.3	30
961.9	8
962	5
963.1	24
963.7	39
964.3	40
964.9	15
964.9	21
965.2	7
965.9	18
966	16
968.9	2
970	4
970	29
970	45
970.2	41
970.3	11
970.9	17
971.1	26
971.4	31
971.8	25
971.8	49
972	28
972.3	14
972.3	47
976.4	6
976.4	34
977	37
977.2	5
977.8	9
977.9	22
978.2	1
978.8	36
979	43
981.9	24
983.6	27
983.7	19
984.9	30
985.2	12
985.8	44
985.9	10
986.7	16
987	41
987.2	23
987.2	42
987.8	20
988.2	7
988.2	21
988.4	13
988.7	37
988.7	40
989.3	49
989.4	46
991.5	14
991.8	39
992.2	25
992.4	45
993.1	31
994.5	34
994.7	4
995.3	47
995.4	36
996.5	29
997.7	15
997.8	24
998.2	17
998.6	35
999.4	5
999.8	32
